id,price_doc
30474,5135053.066
30475,8609011.187
30476,6104961.077333333
30477,6714939.282
30478,5021011.252
30479,9424440.932
30480,4542690.629066667
30481,4390841.276
30482,4424660.838
30483,5270912.26
30484,5943747.234666666
30485,4952046.938
30486,3721689.994
30487,4580417.436666666
30488,7393742.866
30489,5593101.83
30490,23044273.9
30491,19009447.054
30492,6286148.354
30493,14995499.942
30494,7536695.296
30495,11018522.942
30496,8479360.348
30497,8233830.278
30498,4981795.629333334
30499,7399030.044
30500,12922152.154
30501,7563952.568
30502,3573630.314
30503,5035899.716
30504,6285125.908
30505,11045644.054
30506,3013930.875590477
30507,5045587.9032
30508,5719939.666
30509,8506884.634
30510,9403108.124
30511,7696869.788
30512,6943741.316
30513,4565803.794552381
30514,3696695.5533333337
30515,10809216.576
30516,6143900.472
30517,11921320.184
30518,6046922.566
30519,4761690.0
30520,6689977.24
30521,5646774.196
30522,7732539.296
30523,7053264.73
30524,10560693.85
30525,11003209.318
30526,5338691.054
30527,5413887.02
30528,6506504.798
30529,6735221.222666666
30530,6303316.252
30531,13653344.78
30532,4659344.984
30533,10842789.792
30534,7488540.598
30535,9535904.206
30536,5552614.67
30537,12560931.79
30538,4738406.4
30539,13595928.6374
30540,9771057.226
30541,5917580.086
30542,2529519.936
30543,5640361.08
30544,5511777.274
30545,8886242.816
30546,4382913.6848
30547,10184078.516
30548,4584216.148
30549,5532553.842
30550,11394454.574
30551,5836416.48
30552,2116010.17
30553,7544895.138
30554,10929687.156
30555,6540742.688
30556,9164587.03
30557,7427285.228
30558,9462505.65
30559,7174026.88
30560,6401267.898
30561,7847595.098
30562,13069427.33
30563,4448597.816
30564,7048833.962
30565,7622167.468
30566,6968653.418
30567,2560798.324
30568,11589379.946
30569,10012410.54
30570,6846803.836
30571,8577007.574
30572,5336019.322
30573,6461954.935666667
30574,7055125.598
30575,7162662.886
30576,5258353.350666666
30577,4728139.786
30578,2972525.4463904765
30579,7284229.458
30580,5566292.198
30581,5412365.816
30582,11173350.396
30583,7522145.024
30584,4877950.42
30585,2437135.498
30586,9468179.204
30587,5710544.966
30588,8347090.81
30589,8181661.156
30590,12323982.746
30591,5834860.974
30592,7316121.46
30593,8335403.292
30594,6107377.392599999
30595,5275280.85
30596,6319787.26
30597,6497606.307666667
30598,9600544.262
30599,9724021.574
30600,5141792.596
30601,6650950.274
